,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
47,2014071015089,2014-07-10 00:00:00,2014-06-23 19:15:00,RNO,Reno/Tahoe International,USAir  ,Property Damage,Checked Baggage,Household Items; Other; Other,149.0,Approve in Full
48,2014071615189,2014-07-01 00:00:00,2014-06-27 00:00:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0.0,-
49,2014072115289,2014-07-07 00:00:00,2014-03-25 07:35:00,DCA,Ronald Reagan Washington National Airport,USAir  ,Property Damage,Checkpoint,Personal Electronics,269.0,Settle
50,2014072415389,2014-07-24 00:00:00,2014-06-27 05:20:00,TUL,Tulsa International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.0,Deny
51,2014072915486,2014-07-15 00:00:00,2014-07-03 12:30:00,FLL,Ft. Lauderdale-Hollywood International,-,Property Damage,Checkpoint,Baggage/Cases/Purses,63.6,Approve in Full
52,2014080415686,2014-08-04 00:00:00,2014-07-01 00:00:00,TYS,"Mcghee Tyson ,Knoxville",-,Property Damage,Checkpoint,-,60.0,Approve in Full
53,2014080815786,2014-07-21 00:00:00,2014-07-12 00:00:00,MCO,Orlando International Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
54,2014081515886,2014-08-01 00:00:00,2014-07-29 05:30:00,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,409.79,Approve in Full
55,2014081815986,2014-07-28 00:00:00,2014-05-04 00:00:00,SFO,San Francisco International,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,-
56,2014082016086,2014-10-30 00:00:00,2014-04-13 00:00:00,LAS,McCarran International,-,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
57,2014082216163,2014-08-06 00:00:00,2014-06-14 00:00:00,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checked Baggage,Cosmetics & Grooming,48.54,Approve in Full
58,2014082916319,2014-08-14 00:00:00,2014-07-19 18:35:00,JFK,John F. Kennedy International,Virgin Atlantic,Property Damage,Checkpoint,Computer & Accessories,0.0,-
59,2014090416419,2014-08-19 00:00:00,2014-07-28 00:00:00,MEM,Memphis International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Currency,0.0,-
60,2014091016497,2014-08-18 00:00:00,2014-07-17 00:00:00,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,21.0,Approve in Full
61,2014091516597,2014-08-20 00:00:00,2014-07-28 20:50:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checkpoint,Computer & Accessories,0.0,-
62,2014091916797,2014-08-19 00:00:00,2014-08-16 00:00:00,SEA,Seattle-Tacoma International,All Nippon Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
63,2014092216897,2014-09-05 00:00:00,2014-07-30 20:45:00,DTW,Detroit Metropolitan Wayne County Airport,UAL  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,362.5,Settle
64,2014092516997,2014-09-08 00:00:00,2014-08-26 08:30:00,BDL,Bradley International Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,100.0,Approve in Full
65,2014092617097,2014-09-14 00:00:00,2014-08-30 10:50:00,PHX,Phoenix Sky Harbor International,American Airlines  ,Property Damage,Checked Baggage,Medical/Science,0.0,-
66,2014093017197,2014-09-12 00:00:00,2014-09-10 19:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Computer & Accessories,0.0,-
67,2014100217297,2014-09-22 00:00:00,2014-09-15 06:45:00,PHX,Phoenix Sky Harbor International,UAL  ,Personal Injury,Checkpoint,Other,0.0,-
68,2014100617397,2014-09-25 00:00:00,2014-08-29 00:00:00,MCO,Orlando International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0.0,-
69,2014100817497,2014-09-29 00:00:00,2014-08-24 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Clothing,0.0,-
70,2014101417597,2014-10-06 00:00:00,2014-10-05 14:00:00,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cameras,0.0,Deny
71,2014101617697,2014-10-08 00:00:00,2014-10-03 16:00:00,MIA,Miami International Airport,Aero Flot,Property Damage,Checked Baggage,Other,0.0,-
72,2014101817797,2014-10-16 00:00:00,2014-09-16 12:00:00,SEA,Seattle-Tacoma International,Frontier Airlines,Passenger Property Loss,Checked Baggage,-,28.0,Approve in Full
73,2014102117897,2014-10-07 00:00:00,2014-08-15 06:00:00,SIT,Sitka 'Rocky Guitierrez',Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Food & Drink,0.0,-
74,2014102617997,2014-10-23 00:00:00,2014-10-08 00:00:00,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,-,0.0,Deny
75,2014103018097,2014-10-24 00:00:00,2014-10-11 19:20:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,-
76,2014110418197,2014-10-30 00:00:00,2014-08-27 07:02:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,-
77,2014111018297,2014-11-02 00:00:00,2014-10-24 00:00:00,PIE,St. Petersburg-Clearwater International,Sun Country Airlines Inc  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0.0,-
78,2014111718384,2014-11-04 00:00:00,2014-09-05 00:00:00,SNA,John Wayne,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Cosmetics & Grooming; Cosmetics & Grooming,0.0,-
79,2014111918450,2014-11-10 00:00:00,2014-10-23 10:20:00,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0.0,Deny
80,2014112418525,2014-11-14 00:00:00,2014-11-07 15:15:00,EWR,Newark International Airport,Air Canada,Passenger Property Loss,Checkpoint,Currency,0.0,-
81,2014112618625,2014-11-24 00:00:00,2014-11-24 07:00:00,SNA,John Wayne,American Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0.0,-
82,2014112818725,2014-11-24 00:00:00,2014-11-17 17:40:00,SRQ,Sarasota Bradenton International,Jet Blue,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics,0.0,-
83,2014120218807,2014-11-16 00:00:00,2014-11-10 00:00:00,MYR,Myrtle Beach International,Spirit Airlines,Property Damage,Checkpoint,Personal Accessories,0.0,-
84,2014120518907,2014-12-05 00:00:00,2014-11-13 19:30:00,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,368.52,Settle
85,2014120819007,2014-12-02 00:00:00,2014-11-29 16:55:00,BUR,Bob Hope ,Southwest Airlines  ,Property Damage,Checked Baggage,-,0.0,-
86,2014121019103,2014-12-10 00:00:00,2014-11-07 12:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines  ,Property Damage,Checkpoint,Other,0.0,-
87,2014121519203,2014-12-15 00:00:00,2014-12-12 12:00:00,SFO,San Francisco International,American Airlines  ,Property Damage,Checked Baggage,Clothing,0.0,-
88,2014121819303,2014-12-18 00:00:00,2014-12-12 09:45:00,TPA,Tampa International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,0.0,-
89,2014122919401,2014-12-29 00:00:00,2014-12-13 06:50:00,MIA,Miami International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0.0,-
90,2015010219501,2014-12-31 00:00:00,2014-08-03 17:40:00,DCA,Ronald Reagan Washington National Airport,USAir  ,Passenger Property Loss,Checked Baggage,-,0.0,-
91,2012072695739,2014-02-03 00:00:00,2012-02-04 00:00:00,ZZZ,Unspecified Personal Injury,-,Personal Injury,Other,-,0.0,Deny
92,2013053003894,2014-04-18 00:00:00,2013-04-22 08:40:00,ACY,Atlantic City International,-,Motor Vehicle,Motor Vehicle,Baggage/Cases/Purses,2233.86,Settle
93,2013081205863,2014-04-24 00:00:00,2013-08-02 00:00:00,ZZX,Non TSA Airport (motor vehicle),-,Personal Injury,Motor Vehicle,-,20000.0,Settle
94,2013082906390,2014-07-03 00:00:00,2013-07-23 08:05:00,BNA,Nashville International,Southwest Airlines  ,Personal Injury,Checkpoint,Other,0.0,-
95,2013082906401,2014-02-24 00:00:00,2013-05-25 06:50:00,PHX,Phoenix Sky Harbor International,USAir  ,Personal Injury,Checkpoint,-,0.0,-
96,2013092507351,2014-01-13 00:00:00,2012-12-26 00:00:00,DCA,Ronald Reagan Washington National Airport,USAir  ,Personal Injury,Checkpoint,Other,0.0,Deny
97,2013102507888,2014-02-14 00:00:00,2012-07-13 06:20:00,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Personal Injury,Checkpoint,-,0.0,-
98,2013103108490,2014-05-22 00:00:00,2013-09-26 00:00:00,ZZX,Non TSA Airport (motor vehicle),-,Personal Injury,Motor Vehicle,-,0.0,-
99,2013111909516,2014-02-09 00:00:00,2013-09-07 12:00:00,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,0.0,Deny
100,2013121110011,2014-07-21 00:00:00,2013-05-15 00:00:00,JAX,Jacksonville International,-,Personal Injury,Checkpoint,-,0.0,-
101,2013121810135,2014-02-12 00:00:00,2013-03-07 17:30:00,RSW,Southwest Florida International,USAir  ,Personal Injury,Checkpoint,Other,0.0,Deny
102,2013123010324,2014-05-21 00:00:00,2013-11-30 00:00:00,MCO,Orlando International Airport,Delta Air Lines  ,Personal Injury,Checkpoint,-,0.0,Deny
103,2014010210415,2014-01-02 00:00:00,2013-11-20 17:30:00,PDX,Portland International,-,Property Damage,Checkpoint,Clothing,44.0,Approve in Full
104,2014010610477,2014-01-06 00:00:00,2013-11-07 17:00:00,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,95.0,Approve in Full
105,2014010610495,2014-01-06 00:00:00,2013-12-19 07:35:00,BOS,Boston (Logan) International Airport ,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.0,Deny
106,2014010610502,2014-03-21 00:00:00,2013-12-21 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.0,Deny
107,2014010610508,2014-01-06 00:00:00,2013-12-22 00:00:00,RDU,Raleigh-Durham International,USAir  ,Property Damage,Checked Baggage,Other,0.0,Deny
108,2014010610516,2014-01-02 00:00:00,2013-12-23 08:30:00,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,1735.91,Approve in Full
109,2014010610521,2014-01-02 00:00:00,2013-11-07 13:22:00,OGG,"Kahului-Maui, HI",Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,11.99,Approve in Full
110,2014010710522,2014-01-02 00:00:00,2012-12-21 17:00:00,RAP,Rapid City Regional,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,0.0,-
111,2014010710523,2014-01-02 00:00:00,2013-12-14 08:00:00,RSW,Southwest Florida International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,14.99,Approve in Full
112,2014010710524,2014-01-02 00:00:00,2013-12-19 00:00:00,SNA,John Wayne,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,0.0,Deny
113,2014010710526,2014-01-02 00:00:00,2013-11-29 14:45:00,PHX,Phoenix Sky Harbor International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Personal Accessories,475.16,Approve in Full
114,2014010710528,2014-01-02 00:00:00,2013-12-03 15:49:00,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
115,2014010710530,2014-01-02 00:00:00,2013-12-03 18:30:00,RDU,Raleigh-Durham International,American Airlines  ,Property Damage,Checkpoint,Personal Electronics,49.0,Approve in Full
116,2014010710533,2014-01-02 00:00:00,2013-12-15 17:00:00,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,Deny
117,2014010710535,2014-01-02 00:00:00,2013-12-15 00:00:00,IAD,Washington Dulles International,American Airlines  ,Passenger Property Loss,Checked Baggage,Medical/Science,0.0,Deny
118,2014010710549,2014-01-02 00:00:00,2013-12-13 00:00:00,RDU,Raleigh-Durham International,USAir  ,Property Damage,Checkpoint,Jewelry & Watches,1385.0,Approve in Full
119,2014010710550,2014-01-02 00:00:00,2013-10-09 19:00:00,PDX,Portland International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,0.0,Deny
120,2014010710551,2014-01-02 00:00:00,2013-12-17 13:30:00,SAT,San Antonio International,American Airlines  ,Passenger Property Loss,Checkpoint,Medical/Science,0.0,-
121,2014010710553,2014-01-02 00:00:00,2013-12-31 08:00:00,IAH,Houston - George Bush Intercontinental Airport,Spirit Airlines,Property Damage,Checked Baggage,Household Items,0.0,Deny
122,2014010710555,2014-01-02 00:00:00,2013-12-05 16:00:00,MIA,Miami International Airport,-,Passenger Property Loss,Checked Baggage,Personal Electronics,0.0,-
123,2014010710556,2014-01-02 00:00:00,2013-12-28 00:00:00,PWM,Portland International Jetport,Jet Blue,Property Damage,Checked Baggage,Clothing; Food & Drink,0.0,Deny
124,2014010710557,2014-01-03 00:00:00,2014-01-02 00:00:00,MOB,Mobile Regional,-,Property Damage,Checked Baggage,Household Items,0.0,Deny
125,2014010710558,2014-01-02 00:00:00,2013-12-16 00:00:00,SJC,Norman Y Mineta San Jose International,UAL  ,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming,0.0,Deny
126,2014010710559,2014-01-02 00:00:00,2013-12-10 10:00:00,MSY,New Orleans International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,12.0,Approve in Full
127,2014010710561,2014-01-02 00:00:00,2013-12-11 10:30:00,BTR,Baton Rouge Metropolitan,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Other,0.0,-
128,2014010710562,2014-01-02 00:00:00,2013-12-31 19:50:00,IAD,Washington Dulles International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Computer & Accessories; Other,162.19,Approve in Full
129,2014010710563,2014-01-02 00:00:00,2013-12-08 11:51:00,HNL,Honolulu International Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,77.27,Settle
130,2014010710567,2014-01-02 00:00:00,2013-11-26 13:30:00,DFW,Dallas-Fort Worth International Airport ,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,189.48,Settle
131,2014010710568,2014-01-02 00:00:00,2013-12-17 14:00:00,LGA,LaGuardia ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
132,2014010710570,2014-01-02 00:00:00,2013-12-20 00:00:00,HOU,William P. Hobby,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Other,0.0,-
133,2014010710572,2014-01-03 00:00:00,2013-12-23 20:00:00,JFK,John F. Kennedy International,Virgin America,Passenger Property Loss,Checked Baggage,Personal Electronics,0.0,-
134,2014010710574,2014-01-02 00:00:00,2013-11-08 08:30:00,MCO,Orlando International Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.0,-
135,2014010710577,2014-01-02 00:00:00,2013-12-05 14:30:00,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checkpoint,Baggage/Cases/Purses,30.0,Approve in Full
136,2014010710578,2014-01-02 00:00:00,2013-12-03 16:30:00,SNA,John Wayne,UAL  ,Property Damage,Checkpoint,Personal Electronics,135.31,Settle
137,2014010710579,2014-01-02 00:00:00,2013-12-09 14:25:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Audio/Video,0.0,Deny
138,2014010710580,2014-01-03 00:00:00,2014-01-01 16:56:00,RDU,Raleigh-Durham International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,254.06,Approve in Full
139,2014010710581,2014-01-02 00:00:00,2013-12-05 00:00:00,TPA,Tampa International,Delta Air Lines  ,Property Damage,Checked Baggage,Jewelry & Watches,0.0,Deny
140,2014010710582,2014-01-02 00:00:00,2013-12-29 00:00:00,SNA,John Wayne,UAL  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0.0,Deny
141,2014010710584,2014-01-01 00:00:00,2013-12-18 00:00:00,SUX,Sioux Gateway,American Airlines  ,Passenger Property Loss,Checked Baggage,Currency,0.0,Deny
142,2014010710587,2014-01-02 00:00:00,2013-09-10 14:50:00,MCO,Orlando International Airport,British Airways  ,Property Damage,Checkpoint,Jewelry & Watches,117.13,Settle
143,2014010710589,2014-01-02 00:00:00,2013-12-25 09:30:00,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0.0,Deny
144,2014010710590,2014-01-02 00:00:00,2013-12-29 00:00:00,SAT,San Antonio International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Audio/Video,0.0,Deny
145,2014010710593,2014-01-02 00:00:00,2013-12-06 06:15:00,SAN,San Diego International,American Airlines  ,Property Damage,Checkpoint,Personal Accessories,124.95,Approve in Full
146,2014010710594,2014-01-03 00:00:00,2013-11-20 17:05:00,SFO,San Francisco International,-,Property Damage,Other,-,899.99,Approve in Full
147,2014010710595,2014-01-02 00:00:00,2013-10-31 09:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,0.0,Deny
148,2014010710596,2014-01-02 00:00:00,2013-12-15 11:00:00,DFW,Dallas-Fort Worth International Airport ,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,90.0,Approve in Full
149,2014010710597,2014-01-02 00:00:00,2013-12-24 00:00:00,LGB,Long Beach,Jet Blue,Passenger Property Loss,Checkpoint,Jewelry & Watches,0.0,Deny
150,2014010710598,2014-01-02 00:00:00,2013-10-09 00:00:00,PBI,Palm Beach International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0.0,Deny
151,2014010710599,2014-01-02 00:00:00,2013-12-09 22:30:00,LAS,McCarran International,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,0.0,Deny
152,2014010710600,2014-01-02 00:00:00,2013-12-01 18:30:00,PHL,Philadelphia International Airport,-,Passenger Property Loss,Checkpoint,Clothing,0.0,-
153,2014010710601,2014-01-02 00:00:00,2013-09-17 20:38:00,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checked Baggage,Clothing,0.0,Deny
154,2014010810604,2014-01-05 00:00:00,2014-01-01 00:00:00,LAX,Los Angeles International Airport ,Sun Country Airlines Inc  ,Property Damage,Checkpoint,Computer & Accessories,0.0,-
